username,houseInfo,statement,roomType,price
Festive,"313 7th St, Jersey City, NJ 07302 USA",Downtown Charmer - 17 Mins to NYC!,Entire home/apt,4730
Javier,"38 Romaine Ave, Jersey City, NJ 07306 USA","Beautiful apt., 10 min subway ride to Manhattan",Entire home/apt,4128
Skyy12,"136 Oakland Ave, Jersey City, NJ 07306 USA",Lux Jersey City 1 Bedroom Apt w/Pool & WiFi,Private room,3875
Martin,"360 Marin Blvd, Jersey City, NJ 07302 USA",HUGE PENTHOUSE LUXURY!!,Entire home/apt,3320
Gil225,"JFK Blvd at Highland Ave, Jersey City, NJ 07306 USA","2bed/2bath,furnished,doorman, by NY",Entire home/apt,3252
Susan8,"133 Lafayette St, Jersey City, NJ 07304 USA","Jersey City, 1-Bedroom Garden Apt.",Entire home/apt,1574
Juliet,"2091 John F. Kennedy Blvd, North Bergen, NJ 07047 USA",BNB by NYC: You own 2Floors & 5 Room...Spread Out!,Private room,3591
Molly6,"177 County Rd 618, Jersey City, NJ 07302 USA",Amazing Jersey City Apartment!,Entire home/apt,3234
Patricia,"1 Washington St, Jersey City, NJ 07302 USA",Shared Room,Shared room,1295
Charlaine,"382 Van Horne St, Jersey City, NJ 07304 USA",Minutes to Manhattan & Jersey Shore,Entire home/apt,4183
Bozena,"317 Columbia Ave, Jersey City, NJ 07307 USA",King Bed / Priv Bath /  Min to Time Sq/Lock/ WiFi,Private room,3815
Magda3,"138 Leonard St, Jersey City, NJ 07307 USA",Cozy Shared Room /Free WiFi/Min  To Time Sq,Shared room,3520
Arman2,"280 Columbia Ave, Jersey City, NJ 07307 USA",Private Room /Lock /Free WiFi/minutes to Time SQ,Private room,1499
Isabelle,"7 Monitor St, Jersey City, NJ 07304 USA",Minutes to Manhattan and NJ Shore,Entire home/apt,1946
Zachary,"222 Van Horne St, Jersey City, NJ 07304 USA",Modern private 2 bedrooms apt minutes to NYC,Entire home/apt,1981
Massimo,"175 Van Horne St, Jersey City, NJ 07304 USA",Private room with own bathroom close to NYC,Private room,3494
Mike84,"291 Halladay St, Jersey City, NJ 07304 USA",Large Room with private bathroom min to Manhattan,Private room,5000
Christopher,"11 Saddlewood Ct, Jersey City, NJ 07302 USA",1500sf 1BR Loft: Open Plan+NYC View,Entire home/apt,4203
Leigh8,"520 Jersey Ave, Jersey City, NJ 07302 USA",160sq/ft bedroom 10min to New York,Private room,2331
Harriet,"317 Barrow St, Jersey City, NJ 07302 USA",7 MIN TO MANHATTAN - LARGE APT,Entire home/apt,1164
Ron687,"149 Terhune Ave, Jersey City, NJ 07305 USA","2 bedroom, minutes from bus stop to journal sq",Entire home/apt,3690
Bob392,"321 8th St, Jersey City, NJ 07302 USA",Your Own Apartment Two Stops Away,Entire home/apt,3733
Alfredo,"201 Newark Ave, Jersey City, NJ 07302 USA",LARGE SUNNY ROOM 15 MIN to NYC !,Private room,3222
Laura9,"101 Wayne St, Jersey City, NJ 07302 USA","Charming 2BD Loft 1,500 sqft - 10min NYC",Entire home/apt,2951
Dawn79,"389 County Rd 635, Jersey City, NJ 07302 USA",Room & Private Bath~Minutes to NYC!,Private room,1713
Neelum,"186 Bay St, Jersey City, NJ 07302 USA",Large Penthouse w/ Deck & NYC Views,Entire home/apt,4761
Shannon,"334 7th St, Jersey City, NJ 07302 USA",A Lovely Apartment Two Stops Away,Entire home/apt,2725
Ken278,"82 Prospect St, Jersey City, NJ 07307 USA",Lovely Apartment - close to NYC,Entire home/apt,4873
Tanya9,"565 Palisade Ave, Jersey City, NJ 07307 USA",Rooftop Loft with Manhattan Views,Private room,1739
Paul86,"259 York St, Jersey City, NJ 07302 USA",Great Apt. 10 min from Manhattan,Entire home/apt,2361
James5,"350 4th St, Jersey City, NJ 07302 USA",New apt in downtown JC minutes away from Manhattan,Entire home/apt,1284
David3,"344 2nd St, Jersey City, NJ 07302 USA",Newly renovated small studio,Entire home/apt,4633
Nathalie,"329 Summit Ave, Jersey City, NJ 07306 USA","Bright Garden Studio loft, 15 minutes to NYC",Entire home/apt,3832
Amer87,"700 Grove St, Jersey City, NJ 07310 USA","Calming room, Comfy bed, Caring host",Private room,3061
Sharlene,"273 Grove St, Jersey City, NJ 07302 USA",Nice Apt -10 minutes to Manhattan,Entire home/apt,3036
Andy93,"107 Bright St, Jersey City, NJ 07302 USA",Huge Luxury Loft Share Downtown JC,Private room,2260
Dharma,"41 Prospect St, Jersey City, NJ 07307 USA",Top floor apt w deck in Jersey City,Entire home/apt,4029
Susie8,"274 Communipaw Ave, Jersey City, NJ 07304 USA",Entire home/apt in Downtown Jersey,Entire home/apt,3704
O.Shirle,"25 Duncan Ave, Jersey City, NJ 07304 USA",Modern Clean 1 Bedroom - Jersey City,Private room,1057
Vicky8,"189 Van Horne St, Jersey City, NJ 07304 USA",Fantastic room with private bathroom close NYC!,Private room,3618
Nathan,"20 Garrison Ave, Jersey City, NJ 07306 USA",24/7 Train Station 10 mins Ride to Manhattan,Private room,2620
